"Sublocation","Location","Area","Region","Latitude","Longitude"
NA,"Glacier Is","E GULF","Alaska",NA,NA
NA,"Little Is","SEA","Alaska",NA,NA
NA,"Southwest Brothers Is","SEA","Alaska",NA,NA
NA,"Seguam Is","C ALEU","Alaska",NA,NA
NA,"Silak Is","C ALEU","Alaska",NA,NA
NA,"Tanaga","C ALEU","Alaska",NA,NA
NA,"YUNASKA","C ALEU","Alaska",52.69,-170.6058
NA,"Adak Is","C ALEU","Alaska",NA,NA
NA,"Kanaga Is, Ship Rk","C ALEU","Alaska",NA,NA
NA,"KASATOCHI/NORTH POINT","C ALEU","Alaska",52.18516667,-175.5167
NA,"KISKA/CAPE ST STEPHEN","C ALEU","Alaska",51.875,177.2117
NA,"SEGUAM/SADDLERIDGE","C ALEU","Alaska",52.35083333,-172.5733
NA,"ULAK/HASGOX POINT","C ALEU","Alaska",51.315,-178.9817
NA,"ULAK/HASGOX POINT","C ALEU","Alaska",NA,NA
NA,"Long Is, Kodiak","C GULF","Alaska",NA,NA
NA,"Sea Otter Is","C GULF","Alaska",NA,NA
NA,"CHOWIET","C GULF","Alaska",56.009,-156.6903
NA,"Perry Is","C GULF","Alaska",NA,NA
NA,"MARMOT","C GULF","Alaska",58.2275,-151.7958
NA,"SUGARLOAF","C GULF","Alaska",58.8875,-152.04
NA,"UGAMAK/NORTH","E ALEU","Alaska",54.225,-164.7917
NA,"Amlia Is","E ALEU","Alaska",NA,NA
NA,"UGAMAK/UGAMAK BAY","E ALEU","Alaska",54.2075,-164.7767
NA,"AKUTAN/CAPE MORGAN","E ALEU","Alaska",54.05645,-165.9942
NA,"ADUGAK","E ALEU","Alaska",52.91166667,-169.175
NA,"AKUN/BILLINGS HEAD","E ALEU","Alaska",54.2936,-165.5343
NA,"BOGOSLOF/FIRE ISLAND","E ALEU","Alaska",53.92821667,-168.0342
NA,"SEA LION ROCK (AMAK)","E ALEU","Alaska",55.46366667,-163.2017
NA,"BOGOSLOF/FIRE ISLAND","E ALEU","Alaska",NA,NA
NA,"UGAMAK/NORTH","E ALEU","Alaska",NA,NA
NA,"Perry Is","E GULF","Alaska",NA,NA
NA,"The Needle","E GULF","Alaska",NA,NA
NA,"SEAL ROCKS","E GULF","Alaska",60.163,-146.8383
NA,"WOODED (FISH)","E GULF","Alaska",59.88166667,-147.3442
NA,"WOODED (FISH)","E GULF","Alaska",59.8817,-147.3442
NA,"KOZLOVA CAPE","RU","Russia",NA,NA
NA,"MEDNY","RU","Russia",NA,NA
NA,"IONY","RU","Russia",NA,NA
NA,"YAMSKY","RU","Russia",NA,NA
NA,"Hazy Is","SEA","Alaska",NA,NA
NA,"White Sisters","SEA","Alaska",NA,NA
NA,"Benjamin Is","SEA","Alaska",NA,NA
NA,"Gran Pt","SEA","Alaska",NA,NA
NA,"S. Marble Is","SEA","Alaska",NA,NA
NA,"AGATTU/CAPE SABAK","W ALEU",NA,52.375,-173.7217
NA,"AGATTU/GILLON POINT","W ALEU","Alaska",NA,NA
NA,"CLUBBING ROCKS SOUTH","W GULF",NA,54.69958333,-162.4456
NA,"ATKINS","W GULF",NA,55.055,-159.306
NA,"PINNACLE ROCK","W GULF",NA,54.76758333,-161.7642
NA,"Akutan Is, Cape Morgan","E ALEU","Alaska",NA,NA
NA,"Biali Rks","SEA","Alaska",NA,NA
NA,"Sunset Pt/Is","SEA","Alaska",NA,NA
NA,"West Brothers & Pass","SEA","Alaska",NA,NA
NA,"St Paul Is","SW","Alaska",57.1625,-170.1752
NA,"San Miguel Is","CA","California",NA,NA
NA,"St Paul Is","SW","Alaska",57.111,-170.302
NA,"St George Is","SW","Alaska",55.4163,-169.6804
NA,"St. George Is","SW","Alaska",55.4163,-169.6804
NA,"St. Paul Is","SW","Alaska",57.111,-170.302
NA,"St. Paul Is","SW","Alaska",57.1625,-170.1752
