Name,source,orig.column
Adak,otters,capture location OR Collec location
Adak Is,seals,CaptureSite
ADUGAK,seals,CaptureSite
AGATTU/CAPE SABAK,seals,CaptureSite
AGATTU/GILLON POINT,seals,CaptureSite
AKUN/BILLINGS HEAD,seals,CaptureSite
"Akutan Is, Cape Morgan",seals,CaptureSite
AKUTAN/CAPE MORGAN,seals,CaptureSite
Alaska,seals,BroadRegion
Aleutians,otters,capture location OR Collec location
Amchitka,otters,capture location OR Collec location
Amlia Is,seals,CaptureSite
ATKINS,seals,CaptureSite
Attu,otters,capture location OR Collec location
Benjamin Is,seals,CaptureSite
Bering Sea,seals,CaptureSite
Between Saginaw and Security Bays,seals,CaptureSite
Biali Rks,seals,CaptureSite
BOGOSLOF/FIRE ISLAND,seals,CaptureSite
C ALEU,seals,Region
C GULF,seals,Region
CA,seals,Region
California,seals,BroadRegion
Central Kachemak Bay,seals,CaptureSite
chiniak,otters,capture location OR Collec location
CHOWIET,seals,CaptureSite
CLUBBING ROCKS SOUTH,seals,CaptureSite
Cohen Island,seals,CaptureSite
deranof,otters,capture location OR Collec location
E ALEU,seals,Region
E GULF,seals,Region
Ealeut,otters,area
East of Mud Bay,seals,CaptureSite
EKOD,otters,area
Glacier Is,seals,CaptureSite
Glacier National Park,seals,CaptureSite
Gran Pt,seals,CaptureSite
"Grassy Reef, Keku Straight",seals,CaptureSite
Hazy Is,seals,CaptureSite
Homer,seals,CaptureSite
IONY,seals,CaptureSite
"Kanaga Is, Ship Rk",seals,CaptureSite
KASATOCHI/NORTH POINT,seals,CaptureSite
Katmai National Park,seals,CaptureSite
Kenai P.,otters,capture location OR Collec location
KISKA/CAPE ST STEPHEN,seals,CaptureSite
Kodiak,seals,CaptureSite
Kodiak - EVOS area,otters,capture location OR Collec location
Kotzebue,seals,CaptureSite
KOZLOVA CAPE,seals,CaptureSite
Little Is,seals,CaptureSite
"Long Is, Kodiak",seals,CaptureSite
MARMOT,seals,CaptureSite
MEDNY,seals,CaptureSite
Monolith Keku Straight,seals,CaptureSite
Mouth of Security Bay,seals,CaptureSite
NAFOG,otters,area
ne afognak,otters,capture location OR Collec location
Neptune Bay,seals,CaptureSite
Neptune Point,seals,CaptureSite
NKOD,otters,area
nw afognak,otters,capture location OR Collec location
Payne Island,seals,CaptureSite
Perry Is,seals,CaptureSite
PINNACLE ROCK,seals,CaptureSite
PWS,otters,capture location OR Collec location
RU,seals,Region
Russia,seals,BroadRegion
s afognak,otters,capture location OR Collec location
S. Marble Is,seals,CaptureSite
San Miguel Is,seals,CaptureSite
SC,seals,Region
SE,seals,Region
SEA,seals,Region
SEA LION ROCK (AMAK),seals,CaptureSite
Sea Otter Is,seals,CaptureSite
SEAL ROCKS,seals,CaptureSite
Seguam Is,seals,CaptureSite
SEGUAM/SADDLERIDGE,seals,CaptureSite
Seldovia,seals,CaptureSite
Seldovia Bay,seals,CaptureSite
Shemya,otters,capture location OR Collec location
Silak Is,seals,CaptureSite
Sitka,seals,CaptureSite
South of Point Cornwallis,seals,CaptureSite
Southwest Brothers Is,seals,CaptureSite
St George Is,seals,CaptureSite
St Paul Is,seals,CaptureSite
St. George Is,seals,CaptureSite
St. Paul Is,seals,CaptureSite
SUGARLOAF,seals,CaptureSite
Sunset Pt/Is,seals,CaptureSite
SW,seals,Region
sw shuyak,otters,capture location OR Collec location
Tanaga,seals,CaptureSite
The Needle,seals,CaptureSite
UGAMAK/NORTH,seals,CaptureSite
UGAMAK/UGAMAK BAY,seals,CaptureSite
ULAK/HASGOX POINT,seals,CaptureSite
W ALEU,seals,Region
W GULF,seals,Region
w kodiak,otters,capture location OR Collec location
West Brothers & Pass,seals,CaptureSite
White Sisters,seals,CaptureSite
Whittier,seals,CaptureSite
WKOD,otters,area
WOODED (FISH),seals,CaptureSite
YAMSKY,seals,CaptureSite
YUNASKA,seals,CaptureSite
