"Location","Region","Area","Latitude","Longitude"
"Glacier Is","Alaska","E GULF",NA,NA
"Little Is","Alaska","SEA",NA,NA
"Southwest Brothers Is","Alaska","SEA",NA,NA
"Seguam Is","Alaska","C ALEU",NA,NA
"Silak Is","Alaska","C ALEU",NA,NA
"Tanaga","Alaska","C ALEU",NA,NA
"YUNASKA","Alaska","C ALEU",52.69,-170.6058
"Adak Is","Alaska","C ALEU",NA,NA
"Kanaga Is, Ship Rk","Alaska","C ALEU",NA,NA
"KASATOCHI/NORTH POINT","Alaska","C ALEU",52.18516667,-175.5167
"KISKA/CAPE ST STEPHEN","Alaska","C ALEU",51.875,177.2117
"SEGUAM/SADDLERIDGE","Alaska","C ALEU",52.35083333,-172.5733
"ULAK/HASGOX POINT","Alaska","C ALEU",51.315,-178.9817
"ULAK/HASGOX POINT","Alaska","C ALEU",NA,NA
"Long Is, Kodiak","Alaska","C GULF",NA,NA
"Sea Otter Is","Alaska","C GULF",NA,NA
"CHOWIET","Alaska","C GULF",56.009,-156.6903
"Perry Is","Alaska","C GULF",NA,NA
"MARMOT","Alaska","C GULF",58.2275,-151.7958
"SUGARLOAF","Alaska","C GULF",58.8875,-152.04
"UGAMAK/NORTH","Alaska","E ALEU",54.225,-164.7917
"Amlia Is","Alaska","E ALEU",NA,NA
"UGAMAK/UGAMAK BAY","Alaska","E ALEU",54.2075,-164.7767
"AKUTAN/CAPE MORGAN","Alaska","E ALEU",54.05645,-165.9942
"ADUGAK","Alaska","E ALEU",52.91166667,-169.175
"AKUN/BILLINGS HEAD","Alaska","E ALEU",54.2936,-165.5343
"BOGOSLOF/FIRE ISLAND","Alaska","E ALEU",53.92821667,-168.0342
"SEA LION ROCK (AMAK)","Alaska","E ALEU",55.46366667,-163.2017
"BOGOSLOF/FIRE ISLAND","Alaska","E ALEU",NA,NA
"UGAMAK/NORTH","Alaska","E ALEU",NA,NA
"Perry Is","Alaska","E GULF",NA,NA
"The Needle","Alaska","E GULF",NA,NA
"SEAL ROCKS","Alaska","E GULF",60.163,-146.8383
"WOODED (FISH)","Alaska","E GULF",59.88166667,-147.3442
"WOODED (FISH)","Alaska","E GULF",59.8817,-147.3442
"KOZLOVA CAPE","Russia","RU",NA,NA
"MEDNY","Russia","RU",NA,NA
"IONY","Russia","RU",NA,NA
"YAMSKY","Russia","RU",NA,NA
"Hazy Is","Alaska","SEA",NA,NA
"White Sisters","Alaska","SEA",NA,NA
"Benjamin Is","Alaska","SEA",NA,NA
"Gran Pt","Alaska","SEA",NA,NA
"S. Marble Is","Alaska","SEA",NA,NA
"AGATTU/CAPE SABAK",NA,"W ALEU",52.375,-173.7217
"AGATTU/GILLON POINT","Alaska","W ALEU",NA,NA
"CLUBBING ROCKS SOUTH",NA,"W GULF",54.69958333,-162.4456
"ATKINS",NA,"W GULF",55.055,-159.306
"PINNACLE ROCK",NA,"W GULF",54.76758333,-161.7642
"Akutan Is, Cape Morgan","Alaska","E ALEU",NA,NA
"Biali Rks","Alaska","SEA",NA,NA
"Sunset Pt/Is","Alaska","SEA",NA,NA
"West Brothers & Pass","Alaska","SEA",NA,NA
"St Paul Is","Alaska","SW",57.1625,-170.1752
"San Miguel Is","California","CA",NA,NA
"St Paul Is","Alaska","SW",57.111,-170.302
"St George Is","Alaska","SW",55.4163,-169.6804
"St. George Is","Alaska","SW",55.4163,-169.6804
"St. Paul Is","Alaska","SW",57.111,-170.302
"St. Paul Is","Alaska","SW",57.1625,-170.1752
"Kotzebue","Alaska",NA,66.3879,-162.4174
"Kotzebue","Alaska",NA,66.5617,-162.6854
"Kotzebue","Alaska",NA,66.611,-162.8948
"Bering Sea","Alaska",NA,59.446,-174.732
"Bering Sea","Alaska",NA,60.819,-171.1457
"Bering Sea","Alaska",NA,60.8782,-171.1844
"Bering Sea","Alaska",NA,60.4911,-171.6856
"Bering Sea","Alaska",NA,60.9614,-173.4561
"Bering Sea","Alaska",NA,60.9368,-173.4036
"Bering Sea","Alaska",NA,61.1979,-174.1581
"Bering Sea","Alaska",NA,61.9001,-174.6061
"Bering Sea","Alaska",NA,61.3544,-174.5742
"Bering Sea","Alaska",NA,61.3729,-174.6232
"Bering Sea","Alaska",NA,61.3774,-174.2808
"Bering Sea","Alaska",NA,61.3769,-174.282
"Bering Sea","Alaska",NA,61.9955,-171.0622
"Bering Sea","Alaska",NA,60.7825,-171.0702
"Bering Sea","Alaska",NA,60.8415,-171.1535
"Bering Sea","Alaska",NA,60.8822,-171.1979
"Bering Sea","Alaska",NA,60.8755,-171.244
